id;nome;pais;continente;escudo_url;bandeira_url;pesId
1;BRASIL;BRASIL;AMÉRICA DO SUL;;https://a.imagem.app/oS16yW.png;
2;Avaí;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7hgQ.png;https://a.imagem.app/oS16yW.png;1243
3;Atlético Mineiro;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7Sjb.png;https://a.imagem.app/oS16yW.png;112
4;Novorizontino;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7z31.png;https://a.imagem.app/oS16yW.png;
5;Vila Nova;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS72iW.png;https://a.imagem.app/oS16yW.png;
6;Paysandu;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oPjVUr.png;https://a.imagem.app/oS16yW.png;
7;Operário Ferroviário;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oPjMry.png;https://a.imagem.app/oS16yW.png;
8;Amazonas;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oPl1Bb.png;https://a.imagem.app/oS16yW.png;
9;Botafogo De Ribeirão Preto;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7Kwr.png;https://a.imagem.app/oS16yW.png;
10;Criciúma;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7ea2.png;https://a.imagem.app/oS16yW.png;
11;Guarani;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS71kP.png;https://a.imagem.app/oS16yW.png;
12;Mirassol;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS76jl.png;https://a.imagem.app/oS16yW.png;
13;Ituano;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7ivS.png;https://a.imagem.app/oS16yW.png;
14;Juventude;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7X3v.png;https://a.imagem.app/oS16yW.png;
15;Sport Recife;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7xFT.png;https://a.imagem.app/oS16yW.png;
16;Brusque;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oPl6FQ.png;https://a.imagem.app/oS16yW.png;
17;Ponte Preta;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7qWZ.png;https://a.imagem.app/oS16yW.png;
18;Chapecoense;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7jKi.png;https://a.imagem.app/oS16yW.png;
19;Crb;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7lC8.png;https://a.imagem.app/oS16yW.png;
20;Vitória;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS75aE.png;https://a.imagem.app/oS16yW.png;1251
21;Ceará;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7cze.png;https://a.imagem.app/oS16yW.png;
22;Atlético Goianiense;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7rjN.png;https://a.imagem.app/oS16yW.png;
23;Vasco Da Gama;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7wvC.png;https://a.imagem.app/oS16yW.png;133
24;São Paulo;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7LBY.png;https://a.imagem.app/oS16yW.png;126
25;Santos;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7tFa.png;https://a.imagem.app/oS16yW.png;125
26;Red Bull Bragantino;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7uQ9.png;https://a.imagem.app/oS16yW.png;
27;Palmeiras;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7Epk.png;https://a.imagem.app/oS16yW.png;120
28;Internacional;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7QKV.png;https://a.imagem.app/oS16yW.png;118
29;Grêmio;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7RCJ.png;https://a.imagem.app/oS16yW.png;117
30;Goiás;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7ZfG.png;https://a.imagem.app/oS16yW.png;
31;Fortaleza;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7mzm.png;https://a.imagem.app/oS16yW.png;
32;Fluminense;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7glX.png;https://a.imagem.app/oS16yW.png;
33;Flamengo;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7vMb.png;https://a.imagem.app/oS16yW.png;134
34;Cuiabá;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7VBQ.png;https://a.imagem.app/oS16yW.png;
35;Cruzeiro;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS74X1.png;https://a.imagem.app/oS16yW.png;1219
36;Coritiba;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7PQW.png;https://a.imagem.app/oS16yW.png;1245
37;Corinthians;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7Upt.png;https://a.imagem.app/oS16yW.png;114
38;Botafogo;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7fe0.png;https://a.imagem.app/oS16yW.png;113
39;Bahia;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7yCy.png;https://a.imagem.app/oS16yW.png;1244
40;Athletico Paranaense;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7Dfr.png;https://a.imagem.app/oS16yW.png;116
41;América Mineiro;BRASIL;AMÉRICA DO SUL;https://a.imagem.app/oS7O22.png;https://a.imagem.app/oS16yW.png;1242
42;Confiança;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BFlizi.png;https://a.imagem.app/oS16yW.png;
43;Maringá;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BFlFl8.png;https://a.imagem.app/oS16yW.png;
44;Londrina;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BFlXvE.png;https://a.imagem.app/oS16yW.png;
45;Caxias;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BFlTBe.png;https://a.imagem.app/oS16yW.png;
46;Anápolis;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BFlqFN.png;https://a.imagem.app/oS16yW.png;
47;Botafogo Da Paraíba;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BFlJQC.png;https://a.imagem.app/oS16yW.png;
48;Figueirense;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BFljpY.png;https://a.imagem.app/oS16yW.png;
49;Tombense;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BFlZe1.png;https://a.imagem.app/oS16yW.png;
50;Ypiranga;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BFl5Ka.png;https://a.imagem.app/oS16yW.png;
51;São Bernardo;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BFlIRb.png;https://a.imagem.app/oS16yW.png;
52;Retrô FC Brasil;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BFl9C9.png;https://a.imagem.app/oS16yW.png;
53;Náutico;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BFlwzV.png;https://a.imagem.app/oS16yW.png;
54;Itabaiana;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BFlClJ.png;https://a.imagem.app/oS16yW.png;
55;Floresta;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BFlLMG.png;https://a.imagem.app/oS16yW.png;
56;Csa;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BFluBm.png;https://a.imagem.app/oS16yW.png;
57;ABC De Natal;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BFlEXX.png;https://a.imagem.app/oS16yW.png;
58;Athletic Club;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BxMIJJ.png;https://a.imagem.app/oS16yW.png;
59;Ferroviária;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BxMEhV.png;https://a.imagem.app/oS16yW.png;
60;Volta Redonda;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BxMQgG.png;https://a.imagem.app/oS16yW.png;
61;Remo;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BxMZom.png;https://a.imagem.app/oS16yW.png;
62;Treze;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BEa17b.png;https://a.imagem.app/oS16yW.png;
63;Águia De Marabá;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BEa65Q.png;https://a.imagem.app/oS16yW.png;
64;Água Santa;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BEaiV1.png;https://a.imagem.app/oS16yW.png;
65;Manaus;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BEaXGW.png;https://a.imagem.app/oS16yW.png;
66;Pouso Alegre;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BEaxxt.png;https://a.imagem.app/oS16yW.png;
67;Nova Iguaçu;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BEaTZ0.png;https://a.imagem.app/oS16yW.png;
68;São José;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BEaJ8y.png;https://a.imagem.app/oS16yW.png;
69;América De Natal;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BEajsr.png;https://a.imagem.app/oS16yW.png;
70;Sampaio Corrêa;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BEalt2.png;https://a.imagem.app/oS16yW.png;
71;Maricá;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BEa5yP.png;https://a.imagem.app/oS16yW.png;
72;Joinville;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BEac7l.png;https://a.imagem.app/oS16yW.png;
73;Sousa Ec;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BEar9S.png;https://a.imagem.app/oS16yW.png;
74;Juazeirense;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BEawVv.png;https://a.imagem.app/oS16yW.png;
75;Brasil De Pelotas;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BEaLHT.png;https://a.imagem.app/oS16yW.png;
76;Altos;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BEatT3.png;https://a.imagem.app/oS16yW.png;
77;Trem;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BEauZZ.png;https://a.imagem.app/oS16yW.png;
78;Inter De Limeira;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BEaIAi.png;https://a.imagem.app/oS16yW.png;
79;Boavista;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BEaQ18.png;https://a.imagem.app/oS16yW.png;
80;Tuna Luso;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BEaRtE.png;https://a.imagem.app/oS16yW.png;
81;Portuguesa;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BEaZDe.png;https://a.imagem.app/oS16yW.png;
82;Santa Cruz;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BEam7N.png;https://a.imagem.app/oS16yW.png;
83;Aparecidense;Brasil;AMÉRICA DO SUL;https://a.imagem.app/BEag9C.png;https://a.imagem.app/oS16yW.png;
84;ARGENTINA;ARGENTINA;AMÉRICA DO SUL;;https://a.imagem.app/oS1WN1.png;
85;Vélez Sarsfield;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/oSYOuk.png;https://a.imagem.app/oS1WN1.png;
86;Unión Santa Fe;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/oSYN19.png;https://a.imagem.app/oS1WN1.png;
87;Tigre;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/oSYWDV.png;https://a.imagem.app/oS1WN1.png;
88;Talleres De Córdoba;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/oSn8YJ.png;https://a.imagem.app/oS1WN1.png;
89;Sarmiento;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/oSnAcG.png;https://a.imagem.app/oS1WN1.png;
90;San Lorenzo;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/oSnb4m.png;https://a.imagem.app/oS1WN1.png;
91;Rosario Central;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/oSn3SX.png;https://a.imagem.app/oS1WN1.png;
92;River Plate;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/oSnBqb.png;https://a.imagem.app/oS1WN1.png;
93;Racing Club;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/oSnGdQ.png;https://a.imagem.app/oS1WN1.png;
94;Platense;ARGENTINA;AMÉRICA DO SUL;https://a.imagem.app/oSnSb1.png;https://a.imagem.app/oS1WN1.png;
